fullname	id	prev_id	alt_names		comment
Bos-Rops, J.A.M.Y.	0000000116088471	0000000116088471	Bos-Rops, J. A. M. Y.Bos-Rops, Jeannette A.Bos-Rops, Jeannette A. M. Y.Bos-Rops, Jeannette Adriana Maria Yvonne,Bos-Rops, YvonneRops, J. A. M. Y. Bos-Rops, Jeannette A.Rops, Jeannette Adriana Maria Yvonne Bos-	VIAF ID: 216217778 (Colenbrander) =A 0000000359153354 =2 isni (Colenbrander)	
Bosman, I.D.	0000000060937912	0000000060937912	Bosman, I. D.Bosman, Izak D.Bosman, Izak Daniel	VIAF ID: 39745487 (Dunlop)=A 0000000061281871 =2 isni (Dunlop)	
Boterman, F.W.	0000000080970699	0000000080970699	Boterman, F.Boterman, F.W.Boterman, Frederik W.Boterman, Frederik WillemBoterman, Frederik Willem (historicus)Boterman, FritsBoterman, Frits (historicus)Frits Boterman (niederlÃ¤ndischer Historiker)	VIAF ID: 20047969 (Z.W. Sneller), ISNI: 0000000108772388 (Z.W. Sneller); VIAF ID: 196868995 (W.S. Unger), ISNI: 0000000357213616 (W.S. Unger); VIAF ID: 54164358 (M.A. Drost), ISNI: 0000000066313967 (M.A. Drost)	
Bots, H.	0000000110315485	0000000110315485	Bots, H.;Bots, Hans;Bots, Henricus G.;Bots, J. A. H.;Bots, J. A. H. G. M.;Bots, JAHGM;Bots, Johannes Alphonsus Henricus;Bots, Johannes Alphonsus Henricus G. M.	VIAF ID: 49958495 (H.J. Smit), ISNI: 0000000061427682 (H.J. Smit)	
Bouckaert, J.J.	0000000063078316	0000000063078316	Bouckaert, J. J.;Bouckaert, Jan J.,;Bouckaert, Jean J.;Bouckaert, Jean Jacques Philippe;Jean-Jacques Bouckaert	VIAF ID: 49592824 (K. Heeringa), ISNI: 0000000081284930 (L. Heeringa); VIAF ID: 197236106 (J.G. Nanninga)	
Bouman, A.C.	0000000356976064	0000000356976064	Arie Cornelis Bouman;Bouman, A. C.;Bouman, Ari C.;Bouman, Arie C.;Bouman, Arie Cornelis	VIAF ID: 54515873 (H.A. Poelman), ISNI: 0000000066676936 (H.A. Poelman)	
Bouman, P.J.	0000000109604925	0000000109604925	Boman;Bouman, P. J.;Bouman, Pieter J.;Bouman, Pieter Jan	VIAF ID: 196868995 (W.S. Unger), ISNI: 0000000357213616 (W.S. Unger)	
Bous, S.	0000000372944767	0000000372944767	Sin FangSin Fang Bous	VIAF ID: 62346432 (D.V. Coornhert), ISNI: 0000000121360759 (D.V. Coornhert)	
Bouterse, J.	0000000365650971	0000000365650971	Bouterse, J.;Bouterse, Johannes	VIAF ID: 51821920 (P. Fredericq), ISNI: 0000000083436221 (P. Fredericq)	
Branden, R. van den	0000000395104517	0000000395104517	Branden, Ron Van den;Van den Branden, Ron;Branden, Ron Van den;Van den Branden, R.	VIAF ID: 68950913 (J.L. Blussé), ISNI: 0000000000122543 (J.L. Blussé), VIAF ID: 83052544 (M.E. van Opstall), ISNI: 0000000023523550 (M.E. van Opstall); VIAF ID: 7664911 (W.E. Milde), ISNI: 0000000061305183 (W.E. Milde); VIAF ID: 66485438 (Ts'ao Yung-Ho), ISNI: 0000000081456608 (Ts'ao Yung-Ho)	
